L0a.#,Present,Hallucination,Rationale
L0a.1.1,Yes,,
L0a.1.2,Yes,,
L0a.1.3,Yes,,
L0a.1.4,No,Yes,Unrelated
L0a.2.1,Yes,,
L0a.2.2,No,Yes,
L0a.2.3,Yes,,
L0a.3.1,Yes,,
L0a.3.2,No,Yes,Rambles
L0a.3.3,Yes,,
L0a.3.4,Yes,,
L0a.3.5,No,Yes,Rambles
L0a.3.6,No,Yes,Rambles
L0a.3.7,No,Yes,Rambles
L0a.3.8,No,Yes,Rambles
L0a.3.9,No,Yes,Rambles
L0a.3.10,No,Yes,Rambles
L0a.4.1,Yes,,
L0a.4.2,Yes,,
L0a.4.3,Yes,,
L0a.4.4,No,Yes,Rambles
L0a.4.5,No,Yes,Rambles
L0a.5.1,Yes,,
L0a.5.2,Yes,,
L0a.5.3,Yes,,
L0a.6.1,Yes,,
L0a.7.1,Yes,,
L0a.7.2,No,Yes,Rambles
L0a.7.3,Yes,,
L0a.7.4,No,Yes,Unrelated
L0a.8.1,Yes,,
L0a.9.1,Yes,,
L0a.9.2,No,Yes,Rambles
L0a.9.3,Yes,,
L0a.9.4,No,Yes,Rambles
L0a.9.5,Yes,,
L0a.9.6,Yes,,
L0a.9.7,Yes,,
L0a.10.1,No,Yes,Rambles
L0a.10.2,No,Yes,Rambles
L0a.10.3,No,Yes,Rambles
L0a.10.4,No,Yes,Rambles
L0a.10.5,No,Yes,Rambles
