L0b.#,Present,Hallucination,Rationale
L0b.1.1,Yes,,
L0b.1.2,No,Yes,Rambles
L0b.2.1,No,Yes,Rambles
L0b.2.2,Yes,,
L0b.2.3,Yes,,
L0b.3.1,No,Yes,Rambles
L0b.3.2,No,Yes,Rambles
L0b.3.3,No,Yes,Rambles
L0b.3.4,No,Yes,Rambles
L0b.3.5,No,Yes,Rambles
L0b.3.6,No,Yes,Rambles
L0b.3.7,No,Yes,Rambles
L0b.4.1,Yes,,
L0b.4.2,Yes,,
L0b.4.3,Yes,,
L0b.4.4,Yes,,
L0b.4.5,Yes,,
L0b.4.6,Yes,,
L0b.4.7,Yes,,
L0b.5.1,Yes,,
L0b.5.2,No,Yes,Rambles
L0b.6.1,Yes,,
L0b.6.2,Yes,,
L0b.6.3,Yes,,
L0b.6.4,Yes,,
L0b.6.5,Yes,,
L0b.7.1,Yes,,
L0b.7.2,No,Yes,Rambles
L0b.7.3,No,Yes,Rambles
L0b.8.1,Yes,,
L0b.8.2,No,Yes,Excessive measures
L0b.8.3,No,Yes,Excessive measures
L0b.9.1,No,Yes,Rambles
L0b.9.2,No,Yes,Rambles
L0b.9.3,No,Yes,Rambles
L0b.9.4,No,Yes,Rambles
L0b.9.5,Yes,,
L0b.9.6,Yes,,
L0b.9.7,No,Yes,Rambles
L0b.10.1,Yes,,
L0b.10.2,Yes,,
L0b.10.3,No,Yes,Rambles
L0b.10.4,No,Yes,Rambles
L0b.10.5,No,Yes,Rambles
